GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pro_Spring,com.example.pro_spring.util,HttpUtil,0,41,0,0,0,10,0,3,0,3
Pro_Spring,com.example.pro_spring,ProSpringApplication,0,8,0,0,0,3,0,2,0,2
Pro_Spring,com.example.pro_spring.controller,PaxosController,3,231,0,34,1,60,1,30,1,13
Pro_Spring,com.example.pro_spring.model,Promise,0,12,0,0,0,1,0,1,0,1
Pro_Spring,com.example.pro_spring.service,PaxosServer,221,1233,33,69,52,224,29,58,1,35
Pro_Spring,com.example.pro_spring.config,ExecutorConfig,0,17,0,0,0,6,0,2,0,2
